first_name,second_name,id,web_name,now_cost,cost_change_start,element_type,selected_by_percent,team,team_code,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps
Arthur,Masuaku,378,Masuaku,43,-2,2,0.5,19,21,20,472,0,1,2,7,1,1,0,3,118
Pablo,Zabaleta,379,Zabaleta,43,-2,2,0.5,19,21,6,198,0,0,0,5,0,0,0,0,38
Ryan,Fredericks,380,Fredericks,45,0,2,0.7,19,21,37,1267,0,1,4,24,4,0,0,2,218
Issa,Diop,381,Diop,45,0,2,2.6,19,21,27,1143,0,0,3,23,5,0,0,2,172
Fabián,Balbuena,382,Balbuena,43,-2,2,0.3,19,21,18,631,1,0,1,17,2,0,0,1,101
Winston,Reid,383,Reid,39,-1,2,4.6,19,21,0,0,0,0,0,0,0,0,0,0,0
Ben,Johnson,384,Johnson,40,0,2,1.3,19,21,0,0,0,0,0,0,0,0,0,0,0
Marko,Arnautovic,385,Arnautovic,70,0,4,0.1,19,21,0,0,0,0,0,0,0,0,0,0,0
Javier,Hernández Balcázar,386,Chicharito,60,0,4,0.4,19,21,9,106,1,0,0,4,0,0,0,2,27
Alexandre Nascimento,Costa Silva,387,Xande Silva,43,-2,4,1.0,19,21,0,0,0,0,0,0,0,0,0,0,0
Lukasz,Fabianski,388,Fabianski,49,-1,1,2.1,19,21,32,573,0,0,3,8,0,0,20,4,135
Michail,Antonio,389,Antonio,69,-1,3,0.7,19,21,17,335,1,1,1,6,0,0,0,0,33
Felipe Anderson,Pereira Gomes,390,Felipe Anderson,67,-3,3,3.1,19,21,40,1075,0,3,5,21,1,0,0,0,207
Manuel,Lanzini,391,Lanzini,62,-3,3,0.8,19,21,32,730,0,3,2,12,0,0,0,3,160
Andriy,Yarmolenko,392,Yarmolenko,55,-5,3,1.7,19,21,48,805,3,1,3,14,2,0,0,8,156
Robert,Snodgrass,393,Snodgrass,52,-3,3,0.3,19,21,34,727,2,1,1,18,3,0,0,4,126
Jack,Wilshere,394,Wilshere,47,-3,3,0.2,19,21,6,174,0,0,0,4,0,0,0,0,14
Declan,Rice,395,Rice,47,-3,3,1.4,19,21,33,1440,0,0,4,28,3,0,0,0,244
Mark,Noble,396,Noble,50,0,3,0.6,19,21,41,1072,1,2,4,17,2,0,0,2,167
Carlos,Sánchez,397,Carlos Sánchez,44,-1,3,0.3,19,21,4,40,0,0,0,0,0,0,0,0,11
Grady,Diangana,398,Diangana,44,-1,3,0.1,19,21,0,0,0,0,0,0,0,0,0,0,0
Pablo,Fornals,399,Fornals,60,-5,3,0.3,19,21,30,774,0,2,2,17,1,0,0,0,106
Pedro,Obiang,400,Obiang,45,0,3,0.0,19,21,0,0,0,0,0,0,0,0,0,0,0
Roberto,Jimenez Gago,450,Roberto,44,-1,1,0.5,19,21,17,596,0,0,0,15,0,0,34,1,120
Sébastien,Haller,457,Haller,70,-5,4,2.4,19,21,54,1193,4,2,3,23,1,0,0,5,189
