first_name,second_name,id,web_name,now_cost,cost_change_start,element_type,selected_by_percent,team,team_code,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps
Fikayo,Tomori,529,Tomori,44,-1,2,1.9,6,8,47,1228,1,0,4,16,3,0,0,7,255
Billy,Gilmour,533,Gilmour,45,0,3,0.0,6,8,2,9,0,0,0,1,0,0,0,0,5
Addji Keaninkin Marc-Israel,Guehi,545,Guehi,40,0,2,0.1,6,8,0,0,0,0,0,0,0,0,0,0,0
Patrick,van Aanholt,123,van Aanholt,55,0,2,4.4,7,31,73,1712,3,0,5,24,0,0,0,6,350
James,Tomkins,124,Tomkins,50,0,2,0.4,7,31,48,1582,1,1,3,23,5,0,0,4,260
Mamadou,Sakho,125,Sakho,50,0,2,0.1,7,31,7,465,0,0,0,8,0,1,0,0,69
Joel,Ward,126,Ward,43,-2,2,1.1,7,31,50,1390,0,1,4,18,3,0,0,7,243
Scott,Dann,127,Dann,43,-2,2,0.1,7,31,23,454,0,1,2,3,0,0,0,1,103
Martin,Kelly,128,Kelly,42,2,2,21.8,7,31,64,1547,0,1,6,16,0,0,0,4,288
Christian,Benteke,129,Benteke,57,-3,4,0.5,7,31,28,740,1,0,2,11,2,0,0,1,87
Connor,Wickham,130,Wickham,44,-1,4,2.0,7,31,15,90,1,1,0,2,0,0,0,2,48
Vicente,Guaita,131,Guaita,51,1,1,2.1,7,31,95,2250,0,0,7,28,1,0,77,10,454
Wayne,Hennessey,132,Hennessey,42,-3,1,0.6,7,31,6,180,0,0,0,4,0,0,13,0,42
Wilfried,Zaha,133,Zaha,68,-2,3,9.8,7,31,90,2365,3,5,6,32,3,0,0,4,272
Luka,Milivojevic,134,Milivojevic,67,-3,3,1.9,7,31,61,1965,2,1,6,26,9,0,0,7,296
Andros,Townsend,135,Townsend,56,-4,3,1.0,7,31,34,791,1,1,3,12,0,0,0,0,141
Max,Meyer,136,Meyer,52,-3,3,0.1,7,31,18,541,0,0,1,7,1,0,0,0,43
Jeffrey,Schlupp,137,Schlupp,54,-1,3,0.1,7,31,40,856,2,1,4,12,2,0,0,3,121
James,McArthur,138,McArthur,52,-3,3,0.6,7,31,66,2267,0,3,8,25,5,0,0,2,311
Cheikhou,Kouyaté,139,Kouyaté,49,-1,3,0.2,7,31,67,1803,1,2,7,23,1,0,0,4,226
Luke,Dreher,140,Dreher,43,-2,3,0.1,7,31,0,0,0,0,0,0,0,0,0,0,0
Cenk,Tosun,146,Tosun,57,-3,4,0.2,7,31,23,459,2,0,2,6,0,0,0,1,80
James,McCarthy,157,McCarthy,43,-2,3,0.7,7,31,27,1035,0,0,1,16,6,0,0,0,129
Jordan,Ayew,468,Ayew,50,0,4,7.9,7,31,95,2202,6,2,9,27,4,0,0,17,311
Gary,Cahill,503,Cahill,44,-1,2,1.3,7,31,47,1620,0,1,4,26,1,0,0,3,287
Víctor,Camarasa,510,Camarasa,45,-5,3,0.2,7,31,1,5,0,0,0,0,0,0,0,0,3
Jairo,Riedewald,539,Riedewald,45,0,3,0.0,7,31,14,563,0,0,0,7,0,0,0,0,87
Stephen,Henderson,556,Henderson,40,0,1,0.4,7,31,0,0,0,0,0,0,0,0,0,0,0
Sam,Woods,578,Woods,40,0,2,0.0,7,31,0,0,0,0,0,0,0,0,0,0,0
Tyrick,Mitchell,579,Mitchell,40,0,2,0.0,7,31,0,0,0,0,0,0,0,0,0,0,0
Brandon,Pierrick,580,Pierrick,45,0,3,0.0,7,31,1,7,0,0,0,0,0,0,0,0,5
James,Daly,581,Daly,45,0,4,0.0,7,31,0,0,0,0,0,0,0,0,0,0,0
Nya,Kirby,588,Kirby,45,0,3,0.0,7,31,0,0,0,0,0,0,0,0,0,0,0
Giovanni,McGregor,608,McGregor,45,0,3,0.0,7,31,0,0,0,0,0,0,0,0,0,0,0
Alex,Iwobi,17,Iwobi,56,-4,3,0.9,8,11,37,1103,1,0,1,23,0,0,0,2,162
Lucas,Digne,141,Digne,58,-2,2,12.6,8,11,83,2151,0,5,6,36,2,0,0,12,459
Yerry,Mina,142,Mina,53,-2,2,2.3,8,11,69,1995,2,0,5,33,3,0,0,8,359
Michael,Keane,143,Keane,52,-3,2,1.9,8,11,53,1566,1,0,4,27,0,0,0,3,277
Seamus,Coleman,144,Coleman,53,-2,2,1.1,8,11,33,1162,0,1,3,20,3,1,0,2,203
Leighton,Baines,145,Baines,49,-1,2,0.2,8,11,8,152,0,1,0,2,0,0,0,0,38
Dominic,Calvert-Lewin,147,Calvert-Lewin,62,2,4,12.6,8,11,96,1649,11,1,5,27,6,0,0,13,332
Jordan,Pickford,148,Pickford,53,-2,1,6.7,8,11,78,2340,0,0,6,38,1,0,63,3,425
Maarten,Stekelenburg,149,Stekelenburg,40,0,1,7.2,8,11,0,0,0,0,0,0,0,0,0,0,0
Richarlison,de Andrade,150,Richarlison,82,2,3,11.0,8,11,123,2082,9,5,6,34,4,0,0,13,395
Gylfi,Sigurdsson,151,Sigurdsson,73,-7,3,2.4,8,11,64,1722,1,3,5,29,2,0,0,4,290
Bernard,Anício Caldeira Duarte,152,Bernard,64,-1,3,0.7,8,11,57,914,3,2,7,8,2,0,0,6,182
Theo,Walcott,153,Walcott,62,-3,3,0.4,8,11,46,951,1,3,3,11,1,0,0,1,127
Tom,Davies,154,Davies,53,-2,3,0.1,8,11,40,1218,1,1,3,21,6,0,0,3,145
Ademola,Lookman,155,Lookman,50,0,3,0.0,8,11,0,0,0,0,0,0,0,0,0,0,0
Idrissa,Gueye,156,Gueye,50,0,3,0.0,8,11,0,0,0,0,0,0,0,0,0,0,0
Morgan,Schneiderlin,158,Schneiderlin,44,-1,3,0.6,8,11,18,940,0,0,1,17,3,1,0,0,133
Fabian,Delph,205,Delph,53,-2,2,0.2,8,11,23,1106,0,0,2,21,3,1,0,2,187
André Filipe,Tavares Gomes,422,André Gomes,52,-3,3,0.3,8,11,13,584,0,0,2,8,3,0,0,0,71
Lewis,Gibson,477,Gibson,43,-2,2,0.1,8,11,0,0,0,0,0,0,0,0,0,0,0
Mason,Holgate,478,Holgate,45,0,2,2.4,8,11,53,1462,0,4,3,24,3,0,0,5,303
Jonas,Lössl,479,Lössl,43,-2,1,0.3,8,11,0,0,0,0,0,0,0,0,0,0,0
Moise,Kean,496,Kean,64,-6,4,1.4,8,11,37,622,1,2,1,12,0,0,0,3,88
Jean-Philippe,Gbamin,497,Gbamin,48,-2,3,0.0,8,11,4,135,0,0,1,0,0,0,0,0,14
Djibril,Sidibé,511,Sidibé,52,-3,2,1.3,8,11,62,1396,0,4,4,21,2,0,0,9,319
Beni,Baningime,557,Baningime,45,0,3,0.0,8,11,0,0,0,0,0,0,0,0,0,0,0
Anthony,Gordon,561,Gordon,45,0,4,0.0,8,11,1,45,0,0,0,0,0,0,0,0,2
Oumar,Niasse,570,Niasse,45,0,4,0.0,8,11,3,19,0,0,0,2,0,0,0,0,1
